127.0.0.1 - - [09/Mar/2018:09:16:00 +0000] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:20:37 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:20:37 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:20:37 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:21:35 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:21:35 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:21:35 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:21:35 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:22:37 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:22:37 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:22:37 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:22:37 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:23:56 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:23:57 +0000] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:24:17 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl.wdls HTTP/1.1" 404 65
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:24:32 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl.wsdl HTTP/1.1" 404 65
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:24:37 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:24:57 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:24:57 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:24:57 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:24:57 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:27:53 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:27:53 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:27:53 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:27:53 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:27:58 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:27:58 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:27:58 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:27:58 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:28:02 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:28:02 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:28:02 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:28:02 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:15 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:16 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:16 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:16 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:16 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:25 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:25 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:25 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:25 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:27 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:27 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:27 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:40:27 +0000] "-" 400 -
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:42:52 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [09/Mar/2018:09:44:32 +0000] "GET /ProductCatalogSOAPService/services/ProductCatalogServiceImpl?wsdl HTTP/1.1" 200 5468
